ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,121,1,2018,6,6,14,0,1,1,0,,,1,,
10002,1,127,1,2018,2,0,38,0,2,2,0,,,2,1.0,1.0
10003,1,21,1,2018,2,22,24,1,10,1,0,,,2,,1.0
10004,1,3,1,2018,3,13,24,0,10,1,0,,,2,,1.0
10005,1,73,1,2018,6,7,12,0,1,1,0,,,2,,
10006,1,49,1,2018,6,22,14,0,1,1,0,,,5,1.0,
10007,1,97,1,2018,1,9,8,0,1,1,0,,,2,,
10008,1,73,1,2018,3,0,12,0,10,1,0,,,2,,1.0
10009,1,97,1,2018,7,0,59,0,10,1,1,,,1,1.0,
10010,1,117,1,2018,1,22,8,1,1,1,0,,,2,,
10011,1,29,1,2018,1,12,12,0,2,1,0,,,4,,
10012,1,83,1,2018,2,22,1,0,10,1,1,,,1,1.0,1.0
10013,1,89,1,2018,2,20,12,0,1,2,0,,,4,,
10014,1,65,1,2018,3,21,12,0,1,1,1,,,2,,1.0
10015,1,115,1,2018,3,14,42,0,1,1,0,,,2,,
10016,1,43,1,2018,4,16,24,0,1,1,1,,,2,,
10017,1,9,1,2018,5,13,8,0,1,1,0,,,2,,
10018,1,43,1,2018,5,16,12,0,1,1,0,,,3,,
10019,1,101,1,2018,6,2,42,1,1,1,1,,,2,,
10020,1,33,1,2018,6,6,12,0,1,1,0,,,2,,
10021,1,89,1,2018,6,8,12,0,1,1,0,,,5,,
10022,1,19,1,2018,6,9,12,0,1,1,0,,,4,,
10023,1,77,1,2018,6,12,12,0,1,1,0,,,2,,
10024,1,115,1,2018,6,22,12,0,1,1,0,,,5,,1.0
10025,1,35,1,2018,6,14,12,0,1,1,0,,,5,,
10026,1,29,1,2018,1,18,32,0,1,1,1,,,2,,
10027,1,73,1,2018,2,2,8,0,2,1,0,,,2,,
10028,1,117,1,2018,2,7,12,0,2,1,0,,,3,1.0,
10029,1,77,1,2018,2,23,34,0,1,1,1,,,2,,
10030,1,89,1,2018,3,7,12,0,2,1,0,,,2,,
10031,1,103,1,2018,4,20,12,0,10,1,0,,,3,1.0,
10032,1,97,1,2018,4,17,8,0,10,1,0,,,2,,
10033,1,43,1,2018,4,22,42,0,2,1,0,,,1,,
10034,1,103,1,2018,5,5,8,0,2,1,0,,,2,,
10035,1,51,1,2018,5,12,12,0,1,1,0,,,3,,
10036,1,107,1,2018,5,22,42,0,2,1,0,,,1,1.0,
10037,1,51,1,2018,6,0,34,0,2,1,1,,,1,1.0,
10038,1,113,1,2018,6,6,42,0,2,1,0,,,3,1.0,1.0
10039,1,109,1,2018,6,6,12,0,2,1,0,,,2,,1.0
10040,1,97,1,2018,7,8,42,0,1,2,1,,,2,1.0,1.0
10041,1,83,1,2018,7,23,32,0,1,1,0,,,1,,
10042,1,119,1,2018,1,4,42,0,1,1,0,,,1,,
10043,1,73,1,2018,2,6,12,0,1,1,0,,,3,,1.0
10044,1,77,1,2018,2,15,12,0,1,2,0,44.0,64.0,3,,
10045,1,49,1,2018,2,18,12,0,1,1,0,,,4,1.0,1.0
10046,1,113,1,2018,2,11,12,2,1,1,0,,,3,,1.0
10047,1,97,1,2018,3,18,12,0,10,1,1,,,2,,
10048,1,5,1,2018,3,19,12,0,1,1,1,,,2,,
10049,1,39,1,2018,4,13,34,0,10,1,0,13.0,104.0,5,1.0,
10050,1,97,1,2018,4,14,12,0,10,1,0,,,2,1.0,
10051,1,25,1,2018,5,15,34,0,1,1,1,50.0,60.0,1,1.0,
10052,1,9,1,2018,5,13,18,0,1,1,0,,,1,,
10053,1,73,1,2018,6,17,12,0,1,1,0,5.0,,2,,
10054,1,81,1,2018,6,10,42,0,1,1,0,,,1,1.0,
10055,1,109,1,2018,7,17,8,0,1,1,0,,,3,,
10056,1,73,1,2018,7,2,59,0,10,1,0,,,1,,
10057,1,115,1,2018,7,21,59,0,1,1,0,,,1,,
10058,1,33,1,2018,1,6,17,0,1,1,1,37.0,74.0,2,1.0,
10059,1,3,1,2018,2,13,12,0,2,3,0,,,7,,
10060,1,83,1,2018,2,12,42,0,2,1,0,,,1,,1.0
10061,1,113,1,2018,4,6,8,0,1,1,0,,,2,,
10062,1,3,1,2018,4,6,35,0,1,1,1,,,1,1.0,
10063,1,111,1,2018,5,7,35,0,1,1,0,,,1,,
