ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,115,1,2013,1,0,1,42,0,10,2,0,,,8,,1.0
10002,1,55,1,2013,5,21,2,12,0,10,1,0,,,2,,
10003,1,89,1,2013,1,11,15,30,0,10,1,0,,,1,,
10004,1,73,1,2013,1,12,99,24,0,1,2,0,,,3,1.0,1.0
10005,1,125,1,2013,1,18,11,12,0,1,1,0,,,3,,
10006,1,97,1,2013,3,14,13,12,0,1,1,0,,,3,,
10007,1,95,1,2013,6,21,3,34,0,2,1,0,,,1,,
10008,1,49,1,2013,2,14,3,12,0,2,1,0,,,2,,
10009,1,17,1,2013,7,16,4,42,0,10,1,1,,,1,,
10010,1,51,1,2013,7,17,3,12,0,10,1,0,,,4,,
10011,1,1,1,2013,7,23,3,12,0,10,1,1,,,3,,
10012,1,9,1,2013,2,5,3,8,0,1,1,0,,,2,,
10013,1,43,1,2013,2,7,1,52,0,1,1,0,,,2,1.0,
10014,1,95,1,2013,2,16,6,30,0,1,1,0,,,1,,
10015,1,115,1,2013,4,20,3,30,0,10,1,1,,,1,,
10016,1,19,1,2013,5,17,2,1,0,2,1,0,,,3,,
10017,1,7,1,2013,5,5,4,12,0,10,1,0,,,2,,
10018,1,81,1,2013,6,10,13,12,0,10,1,0,,,2,,
10019,1,89,1,2013,1,6,14,33,0,2,1,0,,,1,1.0,
10020,1,21,1,2013,2,21,6,42,0,2,1,1,,,1,1.0,1.0
10021,1,69,1,2013,3,0,3,43,0,1,1,1,,,1,,
10022,1,101,1,2013,3,10,2,34,0,10,1,0,,,1,,
10023,1,63,1,2013,4,18,4,42,0,2,1,0,,,1,1.0,
10024,1,117,1,2013,4,11,3,12,0,2,1,0,,,3,1.0,
10025,1,33,1,2013,5,5,4,34,0,2,1,0,,,1,1.0,
10026,1,117,1,2013,7,14,4,12,0,1,1,0,,,3,,
10027,1,47,1,2013,7,22,5,42,0,1,1,1,,,1,,
10028,1,123,1,2013,2,11,2,42,0,1,1,0,,,1,,
10029,1,33,1,2013,5,20,13,8,0,10,1,0,,,3,,1.0
10030,1,101,1,2013,3,22,13,12,0,1,1,0,,,7,,
10031,1,89,1,2013,7,1,13,30,0,2,1,1,,,2,1.0,1.0
10032,1,131,1,2013,6,22,4,42,0,1,1,1,,,1,1.0,
10033,1,1,1,2013,7,1,4,59,0,1,2,0,,,2,1.0,
10034,1,31,1,2013,7,12,3,12,0,1,1,0,,,3,,
10035,1,117,1,2013,1,19,3,34,0,1,1,1,,,1,1.0,
10036,1,81,1,2013,2,2,6,42,0,1,1,0,,,1,,1.0
10037,1,125,1,2013,3,19,4,12,0,1,1,0,,,2,,
10038,1,89,1,2013,4,18,13,8,0,1,1,0,,,4,,
10039,1,1,1,2013,6,1,13,12,0,1,1,1,,,2,,
10040,1,85,1,2013,7,13,5,42,0,1,1,1,,,1,1.0,
10041,1,71,1,2013,6,11,4,12,0,2,2,2,,,3,,1.0
10042,1,93,1,2013,2,13,2,1,0,1,1,0,,,1,,
10043,1,103,1,2013,4,9,13,12,0,2,1,0,,,8,,
10044,1,3,1,2013,5,13,4,19,0,1,1,0,,,2,,
10045,1,73,1,2013,7,13,16,1,0,10,1,0,,,4,,
10046,1,97,1,2013,3,14,13,1,0,10,1,0,,,2,,1.0
10047,1,89,1,2013,2,21,4,8,0,2,1,0,,,2,,
10048,1,95,1,2013,3,12,5,42,0,2,1,0,,,1,,
10049,1,97,1,2013,1,2,2,35,0,1,1,1,,,2,,
10050,1,125,1,2013,4,99,3,34,0,1,1,0,,,1,1.0,
10051,1,89,1,2013,1,14,12,30,0,10,1,0,,,2,1.0,1.0
10052,1,97,1,2013,1,13,11,12,0,10,1,1,,,9,,
10053,1,43,1,2013,2,21,6,35,0,1,1,1,,,1,1.0,
10054,1,15,1,2013,4,13,2,8,0,2,1,0,,,2,,
10055,1,89,1,2013,5,18,13,8,0,1,1,0,3.0,,2,,
10056,1,129,1,2013,2,23,4,1,0,1,1,0,,,2,1.0,
10057,1,45,1,2013,7,0,6,35,0,1,1,1,,,1,,
10058,1,97,1,2013,4,6,16,12,0,2,1,0,,,4,1.0,
10059,1,131,2,2013,6,21,2,42,0,1,1,1,,,1,,1.0
