ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,73,2,2017,1,23,38,0,1,1,0,,,1,,
10002,1,89,2,2017,3,14,1,0,1,1,0,9.0,,1,,
10003,1,101,1,2017,3,20,12,0,1,1,0,,,3,,
10004,1,73,1,2017,1,16,30,0,2,1,0,,,1,1.0,1.0
10005,1,13,1,2017,1,20,35,0,2,1,0,14.0,40.0,2,1.0,
10006,1,49,1,2017,6,18,34,0,10,1,0,6.0,,4,,
10007,1,73,1,2017,4,17,12,0,1,1,0,,,2,,
10008,1,3,1,2017,4,16,35,0,1,1,0,18.0,,1,,
10009,1,87,1,2017,4,14,21,0,1,1,0,,,1,,
10010,1,73,1,2017,7,4,8,0,1,1,0,,,2,,
10011,1,87,1,2017,1,4,12,0,1,2,0,,,2,1.0,1.0
10012,1,85,1,2017,5,21,12,0,2,1,0,,,2,1.0,
10013,1,83,1,2017,1,18,12,0,2,2,1,,,5,,
10014,1,43,1,2017,2,17,12,0,2,1,1,,,3,1.0,
10015,1,121,1,2017,4,0,30,0,10,1,1,,,1,1.0,
10016,1,121,1,2017,4,17,32,0,1,1,0,,,1,1.0,1.0
10017,1,101,1,2017,4,1,30,0,1,1,1,,,1,,
10018,1,121,1,2017,4,23,12,0,1,1,0,,,3,,
10019,1,55,1,2017,5,7,42,0,99,3,0,4.0,,3,,1.0
10020,1,89,1,2017,6,23,1,0,1,1,0,,,2,,
10021,1,111,1,2017,7,16,35,0,1,1,1,6.0,,1,1.0,
10022,1,103,1,2017,2,19,34,0,1,1,1,,,1,1.0,1.0
10023,1,79,1,2017,5,8,12,0,1,1,0,,,4,,1.0
10024,1,109,1,2017,6,11,12,0,2,1,0,,,3,,
10025,1,123,1,2017,4,0,59,0,10,1,1,37.0,40.0,2,,
10026,1,3,1,2017,4,6,12,0,10,1,0,,,2,,
10027,1,83,1,2017,5,20,9,0,1,1,0,5.0,,3,,
10028,1,15,1,2017,5,1,42,0,10,1,0,,,1,,1.0
10029,1,43,1,2017,5,0,32,0,1,1,1,,,1,1.0,1.0
10030,1,47,1,2017,5,23,32,0,10,1,1,,,1,,
10031,1,15,1,2017,6,13,12,0,1,1,0,18.0,40.0,3,,
10032,1,11,1,2017,6,17,11,0,1,1,0,,,1,,1.0
10033,1,61,1,2017,7,14,34,0,1,1,1,,,1,,
10034,1,47,1,2017,7,0,12,0,1,1,0,,,3,1.0,1.0
