ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,81,1,2012,1,20,2,1,0,1,1,1,,,2,,
10002,1,83,1,2012,1,13,16,14,0,1,1,0,,,1,,1.0
10003,1,105,1,2012,2,1,2,35,0,1,1,0,,,6,,
10004,1,81,1,2012,5,15,11,12,0,1,1,0,,,5,,
10005,1,77,1,2012,6,6,5,42,0,1,1,0,,,1,1.0,1.0
10006,1,101,1,2012,1,18,12,8,0,2,1,0,,,3,,1.0
10007,1,47,1,2012,1,3,3,34,0,10,1,1,,,1,1.0,
10008,1,123,1,2012,4,1,3,35,0,1,1,1,,,1,,
10009,1,115,1,2012,1,18,14,12,0,1,1,0,,,2,,1.0
10010,1,51,1,2012,4,18,12,8,0,1,1,0,,,4,,
10011,1,73,1,2012,6,13,16,31,0,1,1,0,,,1,,
10012,1,127,1,2012,1,19,14,8,0,1,1,0,,,2,,
10013,1,49,1,2012,4,18,15,1,0,10,1,0,,,1,,
10014,1,93,1,2012,6,18,15,42,0,1,1,0,,,1,1.0,
10015,1,115,1,2012,1,3,1,12,0,10,2,1,,,5,1.0,
10016,1,115,1,2012,3,12,4,38,0,1,1,0,,,1,,
10017,1,129,1,2012,3,16,4,53,0,1,1,0,,,1,,
10018,1,133,1,2012,4,10,14,12,0,1,1,0,,,2,,
10019,1,111,1,2012,6,22,6,1,0,1,1,1,,,1,1.0,
10020,1,3,1,2012,7,9,5,35,0,10,1,0,,,1,1.0,
10021,1,47,1,2012,3,2,2,11,0,1,1,1,,,1,,
10022,1,51,1,2012,3,6,4,8,0,2,1,1,,,2,,
10023,1,25,1,2012,3,20,2,34,0,2,2,0,,,2,1.0,
10024,1,115,1,2012,3,15,4,42,0,10,1,0,,,1,1.0,
10025,1,125,1,2012,5,6,2,42,0,1,1,0,,,1,,1.0
10026,1,93,1,2012,6,21,4,42,0,1,1,0,,,2,1.0,
10027,1,101,1,2012,7,1,15,52,0,1,1,1,,,1,,1.0
10028,1,69,1,2012,7,19,14,12,0,1,1,0,,,3,,
10029,1,91,1,2012,7,7,5,12,0,1,1,0,,,5,,
10030,1,73,1,2012,7,23,14,30,0,1,1,1,,,1,1.0,1.0
10031,1,89,1,2012,7,5,4,34,0,1,1,1,,,1,1.0,
10032,1,49,1,2012,7,17,3,12,0,1,1,0,,,3,,1.0
10033,1,97,1,2012,1,22,14,8,0,10,1,0,,,2,,
10034,1,39,1,2012,2,14,4,1,0,1,1,0,,,4,1.0,1.0
10035,1,31,1,2012,2,1,4,35,0,1,1,0,,,1,1.0,1.0
10036,1,97,1,2012,3,6,1,42,0,10,1,0,,,1,1.0,
10037,1,69,1,2012,4,23,6,30,0,1,1,1,,,1,1.0,
10038,1,121,1,2012,6,6,6,42,0,10,1,0,,,3,1.0,
10039,1,125,1,2012,6,23,14,9,0,10,1,1,,,2,,
10040,1,69,1,2012,6,12,15,12,0,1,1,0,,,3,,1.0
10041,1,101,1,2012,7,20,12,12,0,5,1,1,,,3,,
10042,1,101,1,2012,7,1,11,24,0,2,1,1,,,2,,
10043,1,53,1,2012,7,1,5,42,0,10,1,1,,,2,1.0,
10044,1,109,1,2012,5,13,4,42,0,2,1,0,,,1,1.0,
10045,1,125,1,2012,5,10,3,12,0,2,1,0,,,2,,
10046,1,97,1,2012,7,6,14,12,0,1,1,0,,,2,,
10047,1,7,1,2012,7,15,4,35,0,1,1,1,,,1,1.0,
10048,1,111,1,2012,7,1,6,42,0,1,1,1,,,1,1.0,
10049,1,97,1,2012,4,4,12,42,0,1,1,1,,,1,1.0,
10050,1,69,1,2012,4,20,14,12,0,1,1,0,,,2,,
10051,1,95,1,2012,2,14,6,42,0,1,1,1,,,1,1.0,
10052,1,113,1,2012,2,8,12,33,0,1,1,1,,,1,,
10053,1,1,1,2012,3,17,16,9,0,10,1,0,,,4,,
10054,1,89,1,2012,2,23,14,12,0,1,1,2,,,2,,
10055,1,15,1,2012,7,23,14,8,0,1,1,0,,,2,,
10056,1,17,1,2012,2,18,14,12,0,1,1,0,,,2,,
10057,1,73,1,2012,3,7,12,12,0,1,1,0,,,3,,1.0
10058,1,71,2,2012,4,15,2,12,0,2,1,0,,,2,1.0,
10059,1,125,2,2012,4,20,14,8,0,10,1,0,,,3,,
10060,1,41,2,2012,4,14,3,35,0,2,1,1,,,2,1.0,
10061,1,17,2,2012,7,9,1,1,0,1,2,0,,,4,,
10063,1,115,2,2012,7,21,5,34,0,5,1,1,,,1,1.0,1.0
10064,1,73,2,2012,2,18,12,12,0,1,1,0,,,3,1.0,
10065,1,83,2,2012,3,23,2,34,0,10,1,1,,,1,1.0,
10066,1,43,2,2012,3,16,14,12,0,1,2,0,,,3,,
10067,1,9,2,2012,4,17,3,8,0,1,1,0,,,2,,
10068,1,43,2,2012,4,16,12,12,0,1,1,0,,,2,,
10069,1,89,2,2012,5,5,14,8,0,1,1,0,,,2,,
10070,1,77,2,2012,5,6,5,53,0,1,1,0,,,1,1.0,
10071,1,61,2,2012,7,0,14,12,0,1,1,1,,,3,,1.0
10072,1,3,2,2012,5,23,16,35,0,1,1,1,,,1,,
10073,1,73,1,2012,7,22,14,12,0,1,1,0,,,5,,2.0
10074,1,95,2,2012,3,13,12,1,0,1,1,0,,,5,,
10075,1,89,2,2012,4,15,12,12,0,10,1,2,,,5,,1.0
10076,1,3,2,2012,7,4,15,32,0,2,1,1,,,1,,1.0
10077,1,131,2,2012,1,17,4,34,0,1,1,0,,,5,,
10078,1,47,2,2012,6,13,12,12,0,10,1,0,,,3,,1.0
10079,1,125,1,2012,5,8,12,12,0,5,1,0,,,2,,1.0
10080,1,95,1,2012,2,18,6,12,0,1,1,0,,,5,1.0,
10081,1,101,1,2012,7,6,12,8,0,1,1,0,,,2,,
10082,1,133,1,2012,7,6,15,42,0,2,1,0,,,1,,1.0
10083,1,3,1,2012,7,6,16,42,0,1,1,0,,,1,,
10084,1,73,2,2012,7,23,11,25,0,10,1,0,,,4,,1.0
10085,1,97,2,2012,1,7,12,12,0,10,1,0,,,2,,
10086,1,103,2,2012,5,9,2,12,0,1,1,0,,,2,,
10087,1,131,2,2012,6,9,4,42,0,10,1,0,,,1,,
10088,1,83,2,2012,7,8,2,34,0,1,1,0,,,1,,
10089,1,107,2,2012,7,3,6,42,0,1,2,1,,,2,1.0,1.0
10090,1,3,2,2012,7,2,6,12,0,10,1,0,,,1,,1.0
10091,1,77,2,2012,1,8,4,34,0,1,1,1,,,1,,
10092,1,73,2,2012,2,1,11,1,0,10,1,1,,,1,,
10093,1,73,2,2012,4,18,11,12,0,1,1,0,,,5,,
10094,1,107,2,2012,4,23,6,23,0,2,1,1,,,2,1.0,
10095,1,7,2,2012,7,99,3,42,0,2,1,0,,,1,,
10096,1,99,2,2012,7,16,3,35,0,2,2,0,,,4,1.0,
10097,1,79,2,2012,7,13,6,1,0,10,1,0,,,1,1.0,
10098,1,73,2,2012,1,17,6,42,0,10,2,0,,,2,,
10099,1,9,2,2012,1,14,6,42,0,1,1,0,,,2,1.0,
10100,1,9,2,2012,2,14,6,1,0,1,1,0,,,1,,
10101,1,43,2,2012,3,14,14,12,0,1,1,0,,,4,1.0,
10102,1,115,2,2012,4,10,3,42,0,10,1,0,,,1,,
10103,1,73,2,2012,1,4,2,24,0,1,1,0,,,1,1.0,1.0
10104,1,101,2,2012,1,19,12,8,0,1,1,0,,,2,,
10105,1,5,2,2012,3,11,12,12,0,1,1,0,,,5,,
10106,1,31,2,2012,3,12,14,12,0,10,1,0,,,2,1.0,
10107,1,89,2,2012,4,11,14,12,0,10,1,0,,,2,,
10108,1,55,2,2012,5,20,3,12,0,1,1,1,,,6,1.0,1.0
10109,1,97,2,2012,7,7,14,12,0,2,1,1,,,2,,1.0
10110,1,71,2,2012,3,6,2,12,0,10,1,0,,,3,1.0,
10111,1,89,2,2012,4,13,3,17,0,1,1,1,,,1,1.0,
10112,1,101,2,2012,1,16,15,30,0,1,1,1,,,2,,
10113,1,105,2,2012,1,0,2,12,0,1,2,0,,,3,,
10114,1,97,2,2012,2,23,3,53,0,2,1,0,,,2,,1.0
10115,1,19,2,2012,2,18,5,12,0,1,1,0,,,3,,
10116,1,97,2,2012,5,12,11,59,0,10,1,0,,,2,,
10117,1,81,2,2012,2,10,1,18,1,1,1,0,,,3,,
10119,1,45,2,2012,6,17,3,12,0,10,1,0,,,2,,
10120,1,43,2,2012,2,10,2,12,0,1,1,0,,,4,,
10121,1,77,3,2012,5,21,14,12,0,2,1,0,,,2,,
10122,1,45,3,2012,6,22,12,1,0,1,1,0,,,4,,
10123,1,125,3,2012,3,19,12,53,0,1,1,1,,,1,1.0,1.0
10124,1,41,3,2012,4,0,14,30,0,10,1,0,,,1,,
10125,1,127,3,2012,5,20,16,30,0,10,1,0,,,3,1.0,1.0
10126,1,123,3,2012,7,9,14,12,0,1,1,0,,,4,,
10127,1,73,2,2012,1,11,11,24,0,2,1,0,,,1,1.0,
10128,1,125,3,2012,5,0,4,34,0,2,1,1,,,1,1.0,
10129,1,53,3,2012,6,20,2,1,0,10,1,1,,,1,1.0,
10130,1,81,3,2012,6,13,3,53,0,1,1,1,,,5,,
10131,1,89,3,2012,6,1,14,33,0,10,1,1,,,1,1.0,
10132,1,53,3,2012,6,0,4,32,0,10,1,0,,,1,1.0,
10133,1,35,3,2012,1,16,3,42,0,10,1,0,,,2,,
10134,1,73,3,2012,1,2,12,12,0,1,1,0,,,2,1.0,1.0
10135,1,31,3,2012,2,21,3,53,0,1,1,1,,,2,,1.0
10136,1,25,3,2012,3,2,5,35,0,1,1,1,,,1,,
10137,1,89,3,2012,3,5,4,12,0,1,1,0,,,2,1.0,
10138,1,3,3,2012,4,10,6,38,0,1,1,0,,,1,1.0,1.0
10139,1,89,3,2012,4,17,2,12,0,1,1,0,,,2,,
10140,1,89,3,2012,5,17,2,12,0,10,1,0,,,3,,
10141,1,73,3,2012,6,5,12,12,0,2,1,0,,,3,,
10142,1,77,3,2012,7,11,6,42,0,1,1,0,,,2,1.0,
10143,1,121,3,2012,7,18,4,12,0,1,2,0,,,7,,
10144,1,49,3,2012,5,19,1,12,0,1,1,1,,,2,,
