ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,person_count,SPEEDREL,L_STATUS
10001,1,73,1,2016,6,9,42,0,1,1,1,5.0,,1,,
10002,1,73,1,2016,1,19,1,0,1,1,1,,,2,,1.0
10003,1,73,1,2016,6,2,14,0,10,1,0,,,2,,
10004,1,73,1,2016,1,21,25,0,1,1,1,,,1,,
10005,1,73,1,2016,3,20,42,0,2,1,0,3.0,,1,1.0,
10006,1,109,1,2016,6,1,42,0,10,1,0,,,1,,
10007,1,117,1,2016,6,23,42,0,1,1,0,,,1,,
10008,1,83,1,2016,2,17,32,0,1,1,1,14.0,,1,1.0,
10009,1,103,1,2016,2,5,12,0,1,2,0,,,4,,
10010,1,69,1,2016,3,15,1,0,1,2,1,,,2,,
10011,1,73,1,2016,4,8,12,0,1,1,0,,,2,1.0,
10012,1,93,1,2016,4,14,42,0,1,1,0,,,2,,1.0
10013,1,55,1,2016,5,16,8,1,10,1,0,21.0,38.0,3,,
10014,1,97,1,2016,6,0,12,0,10,1,1,,,5,1.0,
10015,1,121,1,2016,6,7,12,0,10,1,1,10.0,,3,,
10016,1,121,1,2016,7,4,42,0,2,1,1,,,1,1.0,
10017,1,49,1,2016,2,19,34,0,1,1,1,10.0,,1,1.0,1.0
10018,1,71,1,2016,4,8,34,0,1,1,0,,,1,1.0,
10019,1,103,1,2016,4,16,34,0,1,1,0,4.0,23.0,7,,1.0
10020,1,123,1,2016,1,1,12,0,2,4,2,15.0,29.0,8,,
10021,1,79,1,2016,4,7,12,0,1,1,0,6.0,16.0,3,,
10022,1,73,1,2016,5,10,12,0,1,1,0,8.0,19.0,2,,1.0
10023,1,83,1,2016,5,4,34,0,1,2,0,,,2,1.0,1.0
10024,1,47,1,2016,5,13,8,0,1,1,0,,,4,1.0,
10025,1,15,1,2016,6,21,12,0,5,1,1,,,4,,
10026,1,89,1,2016,6,12,1,0,2,1,0,14.0,,5,,
10027,1,97,1,2016,6,20,42,0,1,1,1,,,1,,1.0
10028,1,55,1,2016,6,14,42,0,1,2,0,,,2,1.0,
10029,1,123,1,2016,5,11,12,0,1,1,0,26.0,,2,1.0,
10030,1,33,1,2016,1,4,42,0,10,1,0,,,3,1.0,
10031,1,51,1,2016,5,14,12,0,10,1,0,11.0,32.0,4,,
10032,1,117,1,2016,5,7,12,0,10,1,0,7.0,51.0,4,,
10033,1,101,1,2016,5,7,12,0,10,1,0,,10.0,3,,
10034,1,83,1,2016,6,16,12,0,4,1,0,8.0,,4,1.0,
10035,1,3,1,2016,6,14,12,0,10,1,0,,,3,1.0,
10036,1,125,1,2016,7,18,8,0,1,1,0,,,2,,
10037,1,13,1,2016,2,13,1,0,10,1,0,,,1,,
10038,1,21,1,2016,3,12,12,0,1,1,0,21.0,,2,,
10039,1,43,1,2016,4,15,8,0,1,1,0,,,5,,1.0
10040,1,117,1,2016,4,16,12,0,1,1,0,14.0,47.0,3,,
10041,1,125,1,2016,5,7,12,0,1,1,0,,,9,,
10042,1,19,1,2016,7,19,12,0,1,1,1,,,3,,
10043,1,91,1,2016,1,3,42,0,1,1,1,,,1,1.0,
10044,1,77,2,2016,3,14,35,0,10,1,0,,,2,,
10045,1,55,2,2016,1,17,1,0,1,1,0,3.0,,1,1.0,
10046,1,101,2,2016,1,6,14,0,1,1,0,,,3,,1.0
10047,1,73,2,2016,7,0,12,0,1,1,1,,,3,,
10048,1,89,2,2016,6,14,12,0,1,1,0,7.0,,4,,
10049,1,87,2,2016,1,11,12,0,1,1,0,,,5,,
10050,1,15,2,2016,6,5,12,0,1,1,0,,,2,1.0,
10051,1,117,1,2016,4,18,12,0,1,1,0,,,3,,
10052,1,7,1,2016,7,1,8,0,1,1,0,,,4,,1.0
10053,1,95,1,2016,1,18,53,0,10,1,1,5.0,,1,,1.0
10054,1,43,2,2016,2,22,12,0,10,1,0,,,2,,
10055,1,73,2,2016,4,18,12,0,10,1,0,6.0,,3,,
10056,1,49,2,2016,4,0,34,0,2,1,1,,,1,,
10057,1,51,2,2016,5,21,12,0,1,1,0,,,3,,1.0
10058,1,79,2,2016,7,18,42,0,1,1,0,0.0,,1,1.0,
10059,1,97,2,2016,7,16,12,0,1,1,1,,,3,2.0,
10060,1,43,2,2016,1,15,12,0,1,2,0,17.0,19.0,3,1.0,
10061,1,101,2,2016,2,16,12,0,1,1,0,,,5,,
10062,1,51,2,2016,3,16,34,0,1,1,0,,,1,1.0,
10063,1,89,3,2016,3,20,12,0,1,1,1,4.0,16.0,4,,1.0
10064,1,73,2,2016,7,21,12,0,1,1,2,,,3,,
10065,1,3,2,2016,5,1,9,0,1,1,0,3.0,,4,,1.0
10066,1,89,2,2016,1,19,30,0,1,1,1,,,1,1.0,
10067,1,97,2,2016,3,14,42,0,1,1,1,,,1,,
10068,1,127,2,2016,4,16,42,0,1,1,0,,,1,,
10069,1,125,2,2016,3,13,42,0,10,1,0,2.0,10.0,2,,
10070,1,123,2,2016,3,0,11,0,1,1,0,,,1,,
10071,1,51,2,2016,7,2,25,0,1,1,1,11.0,,1,,
10072,1,21,3,2016,5,10,1,0,2,1,0,12.0,39.0,5,1.0,
10073,1,83,2,2016,6,22,8,0,1,1,0,,,2,,
10074,1,63,3,2016,5,16,34,1,10,1,0,9.0,30.0,1,,
10075,1,71,2,2016,4,7,42,0,10,1,0,9.0,34.0,4,1.0,
10076,1,73,3,2016,6,23,12,0,1,1,1,6.0,48.0,4,1.0,
10077,1,35,2,2016,3,22,12,0,10,2,0,,,3,,
10078,1,97,2,2016,4,4,34,0,1,1,0,,,1,,
10079,1,31,2,2016,4,23,53,0,1,1,1,,,1,1.0,1.0
10080,1,73,2,2016,5,21,33,0,1,2,0,7.0,,2,1.0,1.0
10081,1,95,2,2016,5,11,12,0,1,3,0,5.0,2.0,4,,
10082,1,31,2,2016,7,3,12,0,1,2,2,,,7,,
10083,1,3,2,2016,7,20,8,0,1,1,0,,,2,,
10084,1,33,2,2016,7,16,34,0,1,1,0,,,1,1.0,
10085,1,77,2,2016,1,18,8,0,2,1,0,,,2,,
10086,1,123,2,2016,2,19,12,0,2,2,0,10.0,52.0,4,1.0,1.0
10087,1,125,2,2016,2,15,42,0,2,1,0,,,1,,
10088,1,125,2,2016,3,11,12,0,10,1,0,0.0,20.0,2,,1.0
10089,1,117,2,2016,3,13,42,0,2,1,0,,,1,1.0,
10090,1,19,2,2016,4,20,30,0,2,1,1,,,1,1.0,
10091,1,69,2,2016,5,0,8,0,1,1,0,8.0,,2,,
10092,1,3,2,2016,5,3,53,0,1,1,0,9.0,,1,,
10093,1,113,2,2016,5,6,12,0,1,1,0,5.0,,3,,1.0
10094,1,97,2,2016,6,23,30,0,1,1,1,,,1,,
10095,1,125,2,2016,6,11,34,0,1,1,0,13.0,,1,1.0,1.0
10096,1,107,2,2016,6,22,32,0,1,1,0,12.0,24.0,2,1.0,
10097,1,127,2,2016,7,3,34,0,1,1,1,10.0,,1,1.0,1.0
10098,1,97,2,2016,1,18,12,0,10,1,1,7.0,,3,,
10099,1,97,2,2016,2,0,30,0,1,1,1,,,1,1.0,
10100,1,121,2,2016,2,20,42,0,1,1,0,,,1,1.0,
10101,1,53,3,2016,3,14,30,0,1,1,0,,,1,1.0,
10102,1,49,3,2016,3,9,43,0,10,1,0,6.0,24.0,2,1.0,
10103,1,1,3,2016,3,17,35,0,10,1,0,,,1,1.0,
10104,1,69,3,2016,3,23,38,0,1,1,1,,,2,1.0,
10105,1,73,3,2016,5,18,30,0,2,1,0,4.0,,1,,1.0
10106,1,119,3,2016,7,4,35,0,1,1,1,,,1,1.0,
10107,1,125,3,2016,7,22,1,0,1,1,1,,,2,,
10108,1,71,3,2016,7,14,12,0,1,1,0,,,3,,
10109,1,21,3,2016,7,19,8,0,1,1,0,,,3,,
10110,1,33,3,2016,7,22,8,0,1,1,0,3.0,,2,,
10111,1,43,3,2016,2,16,12,0,1,1,0,,,3,,1.0
10112,1,49,3,2016,2,19,12,0,1,1,1,9.0,4.0,3,,
10113,1,97,3,2016,3,23,8,0,1,1,0,,,2,,
10114,1,89,3,2016,3,16,42,0,1,1,0,11.0,42.0,1,,
10115,1,89,3,2016,3,11,8,0,1,1,0,,,2,,
10116,1,71,3,2016,4,14,12,0,1,1,0,16.0,,3,,
10117,1,1,3,2016,4,17,12,0,1,1,0,6.0,24.0,3,,
10118,1,115,3,2016,1,4,42,0,10,1,0,,,1,,
10119,1,127,3,2016,6,11,12,0,1,1,0,14.0,40.0,2,,
10120,1,97,3,2016,1,3,38,0,10,1,1,,,1,1.0,
10121,1,35,3,2016,2,5,12,0,10,1,1,24.0,55.0,2,,
10122,1,111,3,2016,2,17,34,0,1,1,0,9.0,28.0,1,,
10123,1,89,3,2016,3,21,30,0,1,1,1,6.0,,1,1.0,
10124,1,125,3,2016,4,18,1,0,10,1,0,23.0,,3,,
10125,1,73,3,2016,5,9,30,0,1,1,0,,,1,,
10126,1,69,3,2016,7,3,30,0,10,1,0,,,2,1.0,
10127,1,13,3,2016,4,20,8,0,10,1,1,15.0,,2,,
10128,1,73,3,2016,5,6,52,0,10,1,0,5.0,,1,,
10129,1,21,3,2016,7,10,34,0,1,1,0,,,3,1.0,
10130,1,73,3,2016,3,11,8,0,1,1,0,8.0,,2,,
10131,1,115,3,2016,4,14,1,0,1,1,0,56.0,11.0,2,,
10132,1,53,3,2016,5,12,42,0,2,1,0,,,1,,
10133,1,97,4,2016,6,20,25,0,2,1,1,5.0,,2,,
10134,1,97,4,2016,6,12,12,0,2,1,0,,,6,1.0,
10135,1,1,4,2016,7,13,1,0,1,1,0,,,2,,
10136,1,21,4,2016,2,2,14,0,1,1,1,,,2,,
10137,1,73,3,2016,5,7,17,0,1,1,0,,,1,,
10138,1,73,3,2016,1,7,12,0,2,1,0,10.0,30.0,2,,
10139,1,73,3,2016,7,3,42,0,2,1,0,12.0,,1,1.0,
10140,1,117,3,2016,6,7,32,0,10,1,1,8.0,24.0,1,,
